iata,skyId,image
BUD,BUD,https://content.skyscnr.com/ec26cc7ac3371abc1b8ea45df0b88791/GettyImages-480882769.jpg
DEB,DEB,https://content.skyscnr.com/ec26cc7ac3371abc1b8ea45df0b88791/GettyImages-480882769.jpg
OTP,OTP,https://content.skyscnr.com/ec26cc7ac3371abc1b8ea45df0b88791/GettyImages-480882769.jpg
CLJ,CLJ,https://content.skyscnr.com/6ee766b3cf0f075d4f8bc2cab3471747/GettyImages-475444191.jpg
TSR,RZV,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
IAS,IAS,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
SOF,RZV,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
VAR,RZV,https://content.skyscnr.com/aa63694be729955d3709259f1cd989ea/GettyImages-484018307.jpg
BOJ,BOJ,https://content.skyscnr.com/aa63694be729955d3709259f1cd989ea/GettyImages-484018307.jpg
PDV,PDV,https://content.skyscnr.com/db465e93dcaad614e9bfcaddb5865e36/GettyImages-505777764.jpg
BEG,BEG,https://content.skyscnr.com/0e13dd0394a185394d5f95a264f7a91e/GettyImages-488017022.jpg
INI,INI,https://content.skyscnr.com/0e13dd0394a185394d5f95a264f7a91e/GettyImages-488017022.jpg
ZAG,RZV,https://content.skyscnr.com/afeafa38f5fb83923c9c58f78bdc195c/GettyImages-185526100.jpg
SPU,RZV,https://content.skyscnr.com/5e4a1d8925d4eb1e09b6e67944054d51/GettyImages-480145073.jpg
DBV,DBV,https://content.skyscnr.com/a6f52c4479a7e3a1d6fe71b924a2b039/GettyImages-454231583.jpg
PUY,PUY,https://content.skyscnr.com/7815bd951e38c30da006f80f2000aa2b/GettyImages-533574555.jpg
ZAD,RZV,https://content.skyscnr.com/0c1b0ffcf42566b18ce3934ccf32c415/GettyImages-136909106.jpg
RJK,RJH,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
LJU,LJU,https://content.skyscnr.com/34f61dd7f8deb4059c12b0b8de9ee002/GettyImages-472229890.jpg
MBX,MBT,https://content.skyscnr.com/1017dd4cef7a773021e1b335b3410d30/GettyImages-487828389.jpg
SKP,RZV,https://content.skyscnr.com/0c1b0ffcf42566b18ce3934ccf32c415/GettyImages-136909106.jpg
OHD,OHD,https://content.skyscnr.com/e0241c97c2b33b71e9c278bc89bb17ed/GettyImages-178640523.jpg
